問題ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,分野,実施回
28-1,「令和5年版男女共同参画白書」(内閣府)で示された、「令和モデル」に関する次の記述のうち、最も適切なものはどれか。,「令和モデル」は、職業観・家庭観が大きく変化する中で、固定的性別役割分担を前提とした雇用慣行等を維持しつつ、全ての人が希望に応じて、家庭でも仕事でも活躍できる社会への変革が実現した姿を表している。,男女ともに仕事と家事・育児等のバランスが取れた生活を送ることができるよう、長時間労働の是正は急務であり、男性の育児休業取得の促進も必要である。,自分の希望が満たされ、能力を最大限に発揮して仕事ができる環境の整備は、まずは女性において優先的に実現することが望ましい。,「年収の壁」に代表されるような、過剰な就労から女性を守る制度・慣行を維持することが、女性の経済的自立を促す上で効果的である。,2,「令和モデル」は、内閣府が提唱する男女共同参画社会の実現に向けた新たな働き方・暮らし方のモデルです。その核心は、男女が性別にかかわらず、それぞれの希望に応じて仕事と家庭生活を両立し、能力を最大限に発揮できる社会を目指す点にあります。選択肢1は、「固定的性別役割分担を前提とした雇用慣行等を維持しつつ」という点が不適切です。令和モデルは、固定的な性別役割分担意識からの脱却を目指しており、既存の慣行を維持するのではなく、変革を促すものです。選択肢2は、令和モデルの考え方に合致しています。男女ともに仕事と家庭・育児等のバランスを取れるように、長時間労働の是正や男性の育児休業取得促進は重要な柱です。これにより、女性に偏りがちな家事・育児の負担を軽減し、男女が共にキャリアと家庭生活を充実させられる環境を整備することを目指します。選択肢3は、「まずは女性において優先的に実現することが望ましい」という点が不適切です。令和モデルは「全ての人が希望に応じて」活躍できる社会を目指しており、特定の性別を優先するものではありません。男女双方の視点から、働き方や生き方の選択肢を広げることが重要です。選択肢4は、「過剰な就労から女性を守る制度・慣行を維持すること」が女性の経済的自立を促す上で効果的であるという点が不適切です。「年収の壁」は、女性の就労調整を促し、結果的に経済的自立を阻害する要因として問題視されており、その解消が求められています。令和モデルは、女性の経済的自立を促進するために、こうした障壁を取り除く方向性を示しています。したがって、令和モデルの目指すところを最も適切に表現しているのは、男女が共に仕事と家庭生活のバランスを取り、長時間労働の是正や男性の育児休業取得促進を通じて、全ての人が希望に応じて活躍できる社会を実現するという選択肢2です。,社会的意義,第28回
28-2,「令和5年雇用動向調査」(厚生労働省)で示された、令和5年1年間における就業形態別の労働移動者に関する次の記述のうち、適切なものはどれか。,一般労働者の入職率で最も高いのは「情報通信業」である。,一般労働者の離職率で最も高いのは「生活関連サービス業、娯楽業」である。,パートタイム労働者の入職率で最も高いのは「宿泊業、飲食サービス業」である。,パートタイム労働者の離職率で最も高いのは「医療、福祉」である。,2,「令和5年雇用動向調査」は、厚生労働省が毎年実施している労働者の入職・離職状況を把握するための重要な統計調査です。この調査結果を理解することは、労働市場の動向を把握し、キャリアコンサルティングに活かす上で不可欠です。選択肢1は、「一般労働者の入職率で最も高いのは『情報通信業』である」とありますが、実際の調査結果では、情報通信業の入職率は最も高くありません。入職率が高いのは、一般的に人手不足が顕著な産業や、新規参入が多い産業です。選択肢2は、「一般労働者の離職率で最も高いのは『生活関連サービス業、娯楽業』である」とあり、これは令和5年雇用動向調査の概況に合致する記述です。生活関連サービス業や娯楽業は、労働条件や賃金水準、非正規雇用の割合などから離職率が高い傾向にあります。選択肢3は、「パートタイム労働者の入職率で最も高いのは『宿泊業、飲食サービス業』である」とありますが、これも調査結果とは異なります。パートタイム労働者の入職率が高いのは、サービス業全般に言えますが、最も高いと断定するのは不適切です。選択肢4は、「パートタイム労働者の離職率で最も高いのは『医療、福祉』である」とありますが、医療、福祉分野は確かに離職率が高い傾向にありますが、パートタイム労働者全体で最も高いとは限りません。離職率は、産業や雇用形態によって変動するため、最新の調査結果を確認することが重要です。したがって、令和5年雇用動向調査の概況と照らし合わせると、一般労働者の離職率が生活関連サービス業、娯楽業で最も高いという選択肢2が適切な記述となります。,社会的意義,第28回
28-3,「令和5年度能力開発基本調査 調査結果の概要(個人調査)」(厚生労働省)で示された、労働者のキャリアコンサルティング経験に関する次の記述のうち、最も適切なものはどれか。,令和4年度中にキャリアコンサルティングを受けた者は、正社員では4人に1人の割合に達している。,キャリアコンサルティングの実施機関としては、「企業内の職場の上司・管理者」よりも、「企業外の機関等(再就職支援会社やキャリアコンサルティングサービス機関等)」の方が 多い。,キャリアコンサルティングを通じて「仕事に対する意識が高まった」とする回答の方が「自分の目指すべきキャリアが明確になった」よりも多い。,キャリアコンサルタントに相談したい内容で最も多いのは、正社員では「職場の人間関係」である。,3,「令和5年度能力開発基本調査」は、厚生労働省が実施する、企業および個人の能力開発に関する実態を把握するための重要な調査です。この調査結果は、キャリアコンサルティングの現状やニーズを理解する上で不可欠です。選択肢1は、「令和4年度中にキャリアコンサルティングを受けた者は、正社員では4人に1人の割合に達している」とありますが、実際の調査結果では、正社員のキャリアコンサルティング受講経験者の割合は、4人に1人（25%）には達していません。まだ普及途上にあると言えます。選択肢2は、「キャリアコンサルティングの実施機関としては、『企業内の職場の上司・管理者』よりも、『企業外の機関等(再就職支援会社やキャリアコンサルティングサービス機関等)』の方が多い」とありますが、調査結果では、企業内の上司・管理者による相談が最も多く、次いで企業内のキャリアコンサルタント、企業外の機関等という順になっています。これは、日常的な相談が上司・管理者によって行われる機会が多いことを示しています。選択肢3は、「キャリアコンサルティングを通じて『仕事に対する意識が高まった』とする回答の方が『自分の目指すべきキャリアが明確になった』よりも多い」とあり、これは令和5年度能力開発基本調査の概況に合致する記述です。キャリアコンサルティングを受けた効果として、「仕事に対する意識が高まった」と感じる労働者が「自分の目指すべきキャリアが明確になった」と回答するよりも多い傾向にあります。これは、コンサルティングが具体的なキャリアパスの明確化だけでなく、日々の仕事への向き合い方やモチベーション向上にも寄与していることを示唆しています。選択肢4は、「キャリアコンサルタントに相談したい内容で最も多いのは、正社員では『職場の人間関係』である」とありますが、相談したい内容で最も多いのは「自分のキャリアプラン」や「仕事の内容・進め方」などであり、「職場の人間関係」は上位ではありますが、最も多いわけではありません。したがって、令和5年度能力開発基本調査の結果と照らし合わせると、キャリアコンサルティングを通じて「仕事に対する意識が高まった」とする回答が「自分の目指すべきキャリアが明確になった」よりも多いという選択肢3が適切な記述となります。,社会的意義,第28回
28-4,"サビカス (Savickas, M. L.) の提唱するキャリア構築理論に関する次の記述のうち、不適切なものはどれか。",キャリア・アダプタビリティは、関心(Concern)、コントロール (Control)、好奇心(Curiosity)、自信(Confidence) で構成される。,人と環境の適合性は、変化する動的なものであり、個人の解釈や理解によって異なる主観的なものである。,キャリアカウンセリングの実践においては、クライエントの内面に既に存在する自己を実現することが重要である。,キャリア構築インタビューには、「3歳から6歳までに起きた3つのストーリーを聞かせてください」などの特定の質問がある。,3,"サビカス（Savickas, M. L.）のキャリア構築理論は、現代の流動的な社会におけるキャリア形成を理解するための重要な枠組みです。この理論は、個人が自らのキャリアを積極的に構築していくプロセスに焦点を当てています。選択肢1は、「キャリア・アダプタビリティは、関心(Concern)、コントロール(Control)、好奇心(Curiosity)、自信(Confidence)で構成される」とあり、これはサビカスが提唱するキャリア・アダプタビリティの4つの次元（4C）を正確に示しています。これは、変化に適応し、キャリアを構築していく上で必要な心理社会的資源です。選択肢2は、「人と環境の適合性は、変化する動的なものであり、個人の解釈や理解によって異なる主観的なものである」とあり、これはキャリア構築理論の基本的な考え方です。客観的な適合性だけでなく、個人がどのように環境を認識し、意味づけするかが重要であるとされます。選択肢3は、「キャリアカウンセリングの実践においては、クライエントの内面に既に存在する自己を実現することが重要である」とありますが、これはサビカスのキャリア構築理論の考え方としては不適切です。この記述は、ロジャーズの人間中心療法など、自己実現を重視する他の理論に近い概念です。キャリア構築理論では、クライエントが自らのストーリーを構築し、未来に向けて積極的に行動していくプロセスを重視します。既存の自己の実現だけでなく、新しい自己の構築や再構築に焦点を当てます。選択肢4は、「キャリア構築インタビューには、『3歳から6歳までに起きた3つのストーリーを聞かせてください』などの特定の質問がある」とあり、これはサビカスが開発したキャリア構築インタビュー（Career Construction Interview: CCI）の特徴的な質問形式の一部です。CCIは、クライエントのライフストーリーやテーマを探求し、キャリア構築の資源を見出すための構造化されたインタビューです。したがって、キャリア構築理論の観点から不適切な記述は選択肢3です。",知識及び理論,第28回
28-5,"パーソンズ (Parsons, F.) の職業選択理論に関する次の記述のうち、最も適切なものはどれか。",「産業構造の変化や雇用慣行の変化、経済の停滞などにより、中年期のキャリア支援の必要性が強く認識される」ようになったという、当時の背景に基づいて提唱された。,「急激な経済成長により都市部に集中した労働者を、より効率的に適職に導く」という当時の社会的課題の解決を意図して提唱された。,「社会的変化が激しく、先の見通しが立ちにくいなか、従来の計画的なキャリア形成が困難になってきている」という当時の風潮のもと提唱された。,「本人が置かれている社会経済的な文脈や文化が無視されがちであった」という当時の認識のもと提唱された。,2,"パーソンズ（Parsons, F.）の職業選択理論は、キャリア理論の源流とされる「特性因子理論」の基礎を築いたものです。その提唱された背景を理解することは、キャリア支援の歴史的文脈を把握する上で重要です。選択肢1は、「産業構造の変化や雇用慣行の変化、経済の停滞などにより、中年期のキャリア支援の必要性が強く認識されるようになった」という記述ですが、これは現代のキャリア支援の背景であり、パーソンズが活躍した20世紀初頭の状況とは異なります。選択肢2は、「急激な経済成長により都市部に集中した労働者を、より効率的に適職に導く」という当時の社会的課題の解決を意図して提唱されたとあり、これが最も適切な記述です。パーソンズは、20世紀初頭の急速な産業化と都市化の中で、多くの若者が職業選択に迷う状況を目の当たりにし、科学的なアプローチで個人と職業の適合を図ることを目指しました。ボストンに職業局を設立し、個人の特性（興味、能力、性格など）と職業の要求を分析し、両者をマッチングさせる「人間と職業のマッチング」という考え方を提唱しました。選択肢3は、「社会的変化が激しく、先の見通しが立ちにくいなか、従来の計画的なキャリア形成が困難になってきている」という記述ですが、これも現代のキャリアの流動性に関する認識であり、パーソンズの時代には当てはまりません。選択肢4は、「本人が置かれている社会経済的な文脈や文化が無視されがちであった」という記述ですが、パーソンズの理論は、個人の特性と職業の適合を重視する一方で、社会経済的な文脈や文化の側面を十分に考慮していなかったという批判を受けることもあります。しかし、彼の理論が提唱された当時の意図とは異なります。したがって、パーソンズの職業選択理論が提唱された当時の社会的背景を最も適切に表しているのは、急激な経済成長の中で労働者を適職に導くという選択肢2です。",知識及び理論,第28回
28-6,"ホール (Hall, D. T.) の理論に関する次の記述のうち、適切なものはどれか。",プロティアン・キャリアは、組織によってではなく個人によって形成されるものである。,プロティアン・キャリアは、移り変わる自身の価値観に対して、他者志向的に変幻していくキャリアといえる。,キャリアは組織で何をすべきかを考えることで形成されていくとする、組織的なアプローチをとっている。,プロティアン・キャリアを形成していくにあたって必要なメタ・コンピテンシーは、自尊感情である。,1,"ホール（Hall, D. T.）のプロティアン・キャリア理論は、現代のキャリア概念を理解する上で非常に重要な理論です。プロティアン・キャリアは、変化の激しい現代社会において、個人が自律的にキャリアを形成していくという考え方を提唱しています。選択肢1は、「プロティアン・キャリアは、組織によってではなく個人によって形成されるものである」とあり、これはプロティアン・キャリアの核心を捉えた最も適切な記述です。従来の組織主導型キャリア（組織内キャリア）とは異なり、プロティアン・キャリアは、個人が自らの価値観や興味、能力に基づいて、組織や職種にとらわれずにキャリアを主体的に形成していくことを強調します。選択肢2は、「プロティアン・キャリアは、移り変わる自身の価値観に対して、他者志向的に変幻していくキャリアといえる」とありますが、プロティアン・キャリアは「自己志向的」であり、他者志向的ではありません。個人の内的な価値観や自己概念に基づいてキャリアを形成することが特徴です。選択肢3は、「キャリアは組織で何をすべきかを考えることで形成されていくとする、組織的なアプローチをとっている」とありますが、これはプロティアン・キャリアとは対極にある組織主導型キャリアの考え方です。ホールは、組織の枠を超えた個人の自律的なキャリア形成を提唱しています。選択肢4は、「プロティアン・キャリアを形成していくにあたって必要なメタ・コンピテンシーは、自尊感情である」とありますが、ホールがプロティアン・キャリアに必要なメタ・コンピテンシーとして挙げているのは、「自己認識（Self-Awareness）」と「適応性（Adaptability）」です。自尊感情も重要ではありますが、直接的にメタ・コンピテンシーとして提唱されているわけではありません。したがって、ホールのプロティアン・キャリア理論を最も適切に説明しているのは、個人が主体的にキャリアを形成するという選択肢1です。",知識及び理論,第28回
28-7,"ホランド (Holland, J. L.) の理論に関する次の記述のうち、最も適切なものはどれか。",個人と環境を同一の8類型に整理し、個人と環境の類型が同一であることによって、より安定した職業選択がもたらされるとした。,現実的職業領域は、機械や物体を対象とする具体的で実際的な仕事や活動の領域を指す。,企業的職業領域は、人と接したり、人に奉仕したりする仕事や活動の領域を指す。,職業興味類型の関連性は距離で表現でき、対角線上にある領域は類似の興味を示す。,2,"ホランド（Holland, J. L.）の理論は、個人と職業環境の適合性を重視する代表的な特性因子理論の一つです。彼は、個人のパーソナリティと職業環境を6つの類型（RIASECモデル）に分類し、両者の適合性が高いほど、職業満足度や安定性が高まると考えました。選択肢1は、「個人と環境を同一の8類型に整理し」とありますが、ホランドが提唱したのは6類型（RIASEC）であり、8類型ではありません。選択肢2は、「現実的職業領域は、機械や物体を対象とする具体的で実際的な仕事や活動の領域を指す」とあり、これはホランドの6類型における「現実的（Realistic）」タイプの定義と合致しています。このタイプは、具体的な作業や手作業、機械操作などを好み、実践的な活動に従事する傾向があります。選択肢3は、「企業的職業領域は、人と接したり、人に奉仕したりする仕事や活動の領域を指す」とありますが、これは「社会的（Social）」タイプの定義に近いです。「企業的（Enterprising）」タイプは、リーダーシップを発揮し、目標達成のために他人を説得したり、組織を運営したりする活動を好みます。選択肢4は、「職業興味類型の関連性は距離で表現でき、対角線上にある領域は類似の興味を示す」とありますが、ホランドの理論では、6類型を六角形のモデル（ホランドの六角形）で表現し、隣接する類型ほど類似性が高く、対角線上にある類型ほど類似性が低い（つまり興味が異なる）とされます。したがって、ホランドの理論に関する記述として最も適切なのは、選択肢2です。",知識及び理論,第28回
28-8,"スーパー (Super, D. E.) のライフステージと発達課題に関する次の記述のうち、最も適切なものはどれか。",人生全体の発達段階をミニサイクルとしたとき、各年代のそれぞれに成長、探求、確立、維持、解放(衰退、下降)のマキシサイクルがある。,人は、生涯においていくつもの大きな役割 (子供、学生、余暇人、市民、労働者、家庭人、年金生活者など)を演じる。,現実的な自己概念を持つことが、成人中期 (45~65)の成長過程で求められる発達課題である。,他者との関わり方を学ぶことが、成人後期 (65歳以上)の成長過程で求められる発達課題である。,2,"スーパー（Super, D. E.）のライフ・スパン、ライフ・スペース理論は、キャリアを生涯にわたる発達的なプロセスとして捉え、個人の役割や自己概念の変化に焦点を当てています。選択肢1は、「人生全体の発達段階をミニサイクルとしたとき、各年代のそれぞれに成長、探求、確立、維持、解放(衰退、下降)のマキシサイクルがある」とありますが、これは記述が逆です。スーパーは、人生全体を「マキシサイクル」とし、その中に「ミニサイクル」（成長、探求、確立、維持、解放）があると考えました。ミニサイクルは、特定の役割変化や転機において繰り返される発達段階を指します。選択肢2は、「人は、生涯においていくつもの大きな役割 (子供、学生、余暇人、市民、労働者、家庭人、年金生活者など)を演じる」とあり、これはスーパーのライフ・スペース理論における「ライフ・ロール（生活役割）」の概念を正確に表しています。個人は、様々な場面で複数の役割を同時に、あるいは時期をずらして演じ、これらの役割がキャリア形成に影響を与えます。これが最も適切な記述です。選択肢3は、「現実的な自己概念を持つことが、成人中期 (45~65)の成長過程で求められる発達課題である」とありますが、現実的な自己概念の形成は、主に青年期から成人初期にかけての「探求期」における重要な発達課題とされます。成人中期は「維持期」にあたり、自己概念の維持や再確立が課題となります。選択肢4は、「他者との関わり方を学ぶことが、成人後期 (65歳以上)の成長過程で求められる発達課題である」とありますが、他者との関わり方を学ぶことは、より早期の発達段階から生涯にわたって重要ですが、成人後期（解放期）の主な発達課題は、役割からの解放や新たな役割への適応、生活の再構築などになります。したがって、スーパーの理論に関する記述として最も適切なのは、人が生涯にわたって様々な役割を演じるという選択肢2です。",知識及び理論,第28回
28-9,動機づけに関する次の記述のうち、適切なものはどれか。,"マズロー (Maslow, A. H.)は、人間の欲求を「生理的欲求」、「安全の欲求」、「所属と愛情の欲求」、「自尊と承認の欲求」の4つに分類した。","マクレランド (McClelland, D. C.)は、職場における社会的欲求を、「達成欲求」、「権力欲求」、「親和欲求」に分類し、達成動機が強ければ強いほど自己実現が促進されるとした。","アルダファ (Alderfer, C.P.)は、人間の欲求を「存在欲求」、「関係欲求」、「成長欲求」の3つの階層に集約し、高次・低次の欲求が同時に生じることもあるとした。","ハーズバーグ (Herzberg, F.)は、給与や作業条件などの衛生要因が十分に満たされれば、従業員の仕事への積極性が高まることを明らかにした。",3,"動機づけ理論は、人々の行動の源泉や方向性を理解するために重要であり、キャリアコンサルティングにおいてもクライエントの動機づけを理解し、支援する上で不可欠です。選択肢1は、「マズロー(Maslow, A. H.)は、人間の欲求を『生理的欲求』、『安全の欲求』、『所属と愛情の欲求』、『自尊と承認の欲求』の4つに分類した」とありますが、マズローはこれらに加えて「自己実現の欲求」を最上位に置き、合計5段階の欲求階層説を提唱しました。したがって、4つに分類したという点が不適切です。選択肢2は、「マクレランド(McClelland, D. C.)は、職場における社会的欲求を、『達成欲求』、『権力欲求』、『親和欲求』に分類し、達成動機が強ければ強いほど自己実現が促進されるとした」とありますが、マクレランドの分類は正しいものの、「達成動機が強ければ強いほど自己実現が促進される」という部分は、彼の理論の直接的な結論ではありません。彼は、これらの欲求が個人の行動や組織の成果にどう影響するかを研究しました。選択肢3は、「アルダファ(Alderfer, C.P.)は、人間の欲求を『存在欲求』、『関係欲求』、『成長欲求』の3つの階層に集約し、高次・低次の欲求が同時に生じることもあるとした」とあり、これはアルダファのERG理論を正確に記述しています。ERG理論は、マズローの欲求段階説を修正・発展させたもので、欲求が階層的に満たされるだけでなく、複数の欲求が同時に存在し、また下位の欲求が満たされなくても上位の欲求が生じたり、上位の欲求が満たされない場合に下位の欲求が強まったりする（欲求の退行）という柔軟な考え方を示しています。これが最も適切な記述です。選択肢4は、「ハーズバーグ(Herzberg, F.)は、給与や作業条件などの衛生要因が十分に満たされれば、従業員の仕事への積極性が高まることを明らかにした」とありますが、ハーズバーグの二要因理論では、給与や作業条件などの衛生要因は、不満を防止する要因であり、これらが満たされても「積極性が高まる（動機づけられる）」わけではないとしました。積極性を高めるのは、仕事そのものの内容や達成感、承認などといった「動機づけ要因」であると提唱しました。したがって、動機づけに関する記述として最も適切なのは、アルダファのERG理論を説明した選択肢3です。",知識及び理論,第28回
28-10,"次の記述のうち、マーシャ (Marcia, J. E.) が示したアイデンティティ・ステイタスの「アイデンティティ拡散」に関する記述として、適切なものはどれか。",幼児期からのあり方について確信がなくなり、いくつかの可能性について本気で考えた末、自分自身の解決に達して、それに基づいて行動している。,自分の目標と親の目標の間に不協和がなく、どんな体験も、幼児期以来の信念を補強するだけになっており、硬さ(融通のきかなさ)が特徴である。,いくつかの選択肢について迷っているところで、その不確かさを克服しようと一生懸命努力している。,危機前においては、今まで本当に何者かであった経験がないので、何者かである自分を想像することができず、危機後においては、すべてのことが可能だし可能なままにしておかなければならない。,4,"マーシャ（Marcia, J. E.）のアイデンティティ・ステイタス理論は、エリクソンの発達段階理論における青年期のアイデンティティ形成に焦点を当て、危機（探索）とコミットメント（専念）の有無によって4つの状態に分類したものです。この問題は、「アイデンティティ拡散」に関する記述として適切なものを選ぶものです。選択肢1は、「幼児期からのあり方について確信がなくなり、いくつかの可能性について本気で考えた末、自分自身の解決に達して、それに基づいて行動している」とありますが、これは「アイデンティティ達成」の状態を説明しています。危機を経験し、コミットメントを確立した状態です。選択肢2は、「自分の目標と親の目標の間に不協和がなく、どんな体験も、幼児期以来の信念を補強するだけになっており、硬さ(融通のきかなさ)が特徴である」とありますが、これは「早期完了（フォークロージャー）」の状態を説明しています。危機を経験することなく、他者（特に親）の価値観や目標をそのまま受け入れている状態です。選択肢3は、「いくつかの選択肢について迷っているところで、その不確かさを克服しようと一生懸命努力している」とありますが、これは「モラトリアム（アイデンティティ猶予）」の状態を説明しています。危機を経験しており、探索の途上にある状態です。選択肢4は、「危機前においては、今まで本当に何者かであった経験がないので、何者かである自分を想像することができず、危機後においては、すべてのことが可能だし可能なままにしておかなければならない」とあり、これが「アイデンティティ拡散」の状態を最も適切に説明しています。アイデンティティ拡散は、危機もコミットメントも経験しておらず、自己の方向性や価値観が定まっていない状態を指します。何者であるかについての探索もコミットメントも欠如しているため、漠然とした状態が続きます。したがって、マーシャのアイデンティティ拡散に関する記述として適切なのは選択肢4です。",知識及び理論,第28回
28-11,カウンセリングの理論や心理療法の名称、その提唱者に関する次の記述のうち、組み合わせとして適切なものはどれか。,"エリス (Ellis, A.)、エゴグラム","デュセイ (Dusay, J. M.)、ゲシュタルト療法","フランクル (Frankl, V. E.)、ロゴセラピー (実存分析)",吉本伊信、論理療法,3,"カウンセリングの理論や心理療法、そしてその提唱者に関する知識は、キャリアコンサルタントが多様なクライエントに対応するための基礎となります。選択肢1は、「エリス (Ellis, A.)、エゴグラム」とありますが、アルバート・エリスは「論理療法（Rational Emotive Behavior Therapy: REBT）」の提唱者です。エゴグラムは、交流分析の自我状態を図式化したもので、ジョン・M・デュセイが開発しました。したがって、この組み合わせは不適切です。選択肢2は、「デュセイ (Dusay, J. M.)、ゲシュタルト療法」とありますが、ジョン・M・デュセイはエゴグラムの開発者であり、ゲシュタルト療法の提唱者はフレデリック・パールズです。したがって、この組み合わせも不適切です。選択肢3は、「フランクル (Frankl, V. E.)、ロゴセラピー (実存分析)」とあり、これは正しい組み合わせです。ヴィクトール・フランクルは、第二次世界大戦中の強制収容所での体験を通じて、人間が苦難の中でも人生の意味を見出すことの重要性を説き、「ロゴセラピー（Logotherapy）」を提唱しました。ロゴセラピーは、実存分析の一派であり、人生の意味の探求を重視します。選択肢4は、「吉本伊信、論理療法」とありますが、吉本伊信は「内観療法」の創始者です。論理療法（REBT）の提唱者はアルバート・エリスです。したがって、この組み合わせも不適切です。以上のことから、最も適切な組み合わせは選択肢3です。",知識及び理論,第28回
