問題ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,分野,実施回
27-23,労働関係法令における労働者の概念に関する次の記述のうち、誤っているものはどれか。,労働基準法における労働者には、採用選考過程中の者は含まれない。,労働組合法における労働者には、失業者は含まれる。,職業能力開発促進法における労働者には、求職者は含まれない。,労働契約法における労働者には、休職中の労働者も含まれる。,3,労働関係法令における「労働者」の概念に関する問題です。職業能力開発促進法における「労働者」の概念は広く、現に雇用されている者だけでなく、求職者も含まれます。これは、職業能力開発促進法が、職業訓練やキャリア形成支援を通じて、失業者を含む多様な人々の職業能力開発を支援することを目的としているためです。したがって、「求職者は含まれない」という記述は誤りです。,知識と理論,27
27-24,出向・転籍に関する次の記述のうち、不適切なものはどれか。,在籍出向命令は、就業規則に根拠規定があり、かつ出向命令自体が権利の濫用に該当しない限り、労働者の個別同意がなくとも有効と解される。,在籍している企業を辞め、他の企業に移籍するいわゆる転籍命令においては、就業規則において転籍に関する条項があったとしても、労働者の個別的な同意が必要である。,出向している労働者を出向元企業に復帰させるには、当該労働者の同意が必要である。,出向している労働者の労働安全衛生法上の事業者責任は、出向先が負う。,3,出向・転籍に関する問題です。出向命令は、就業規則に根拠規定があり、権利濫用でない限り、労働者の個別同意なしに有効と解される場合があります（選択肢1）。しかし、出向元企業への復帰は、労働契約の変更を伴うため、原則として当該労働者の同意が必要です。出向は一時的なものですが、復帰は新たな労働条件や環境への適応を伴うため、労働者の意思が尊重されるべきです。したがって、「当該労働者の同意が必要である」という記述は不適切です。,知識と理論,27
27-25,時間外労働・休日労働割増賃金に関する次の記述のうち、誤っているものはどれか。,法定休日に深夜時間帯を除き、10時間勤務させた場合、2時間分の時間外労働割増賃金を8時間分の休日労働割増賃金と合わせて支給する必要がある。,法定時間外労働が60時間を超えた場合、60時間超の時間の割増率は25%以上ではなく50%以上である。,法定時間外労働が60時間を超えた場合、労使協定の締結によって、60時間を超える部分のうち通常の時間外労働割増賃金を超える部分については、割増賃金を支払う代わりに休暇を与えると定めることができる。,割増賃金の算定基礎には、家族手当は含めなくてよい。,1,時間外労働・休日労働の割増賃金に関する問題です。法定休日に労働させた場合、労働時間に関わらず、休日労働の割増賃金（35%以上）が適用されます。時間外労働の割増賃金（25%以上）は、法定労働時間を超えて労働した場合に適用されるものであり、法定休日労働とは別に計算されるものではありません。したがって、法定休日の労働に対して「時間外労働割増賃金を合わせて支給する必要がある」という記述は誤りです。,知識と理論,27
27-26,労働条件に関する次の記述のうち、正しいものはどれか。,最初の出勤時に、それまで提示されていた労働条件と実際の労働条件が違っていた場合でも、労働者はそのことを理由にただちに契約を解除することはできない。,就業規則で定められた労働条件が不利益に変更される場合でも、事業主から従業員に対し変更内容が十分に周知されていれば、必ず従わなければならない。,最低賃金法で定められた金額よりも低い賃金で契約した場合、その契約は無効となり、最低賃金額と同額の約束をしたものとみなされる。,「地域別最低賃金」と、「特定最低賃金」が同時に適用される仕事では、低い方の最低賃金が適用される。,3,労働条件に関する問題です。最低賃金法第4条第2項により、最低賃金額よりも低い賃金を定める労働契約は、その低い部分について無効とされ、最低賃金額と同額の賃金を定めたものとみなされます。これは、労働者の生活保障を目的とした最低賃金制度の重要な原則です。したがって、選択肢3が正しいです。,知識と理論,27
27-27,学校教育における進路指導に関する次の記述のうち、不適切なものはどれか。,中学校には、進路指導主事を置くものとし、指導教諭又は教諭がこの任に当たる。,中学校においては、生徒が自らの生き方を考え主体的に進路を選択することができるよう、学校の教育活動全体を通じ、計画的、組織的な進路指導を行う。,中学校の進路指導主事は、生徒の進学に関する進路指導を担当し、職業選択にかかる指導・助言や連絡調整には関わらない。,中学校においては、生徒が学校や学級での生活によりよく適応し、現在及び将来の生き方を考え行動する態度や能力を育成することができるよう、学校の教育活動全体を通じ、ガイダンス機能の充実を図る。,3,学校教育における進路指導に関する問題です。中学校の進路指導主事は、生徒の進学だけでなく、職業選択に関する指導・助言や、関連機関との連絡調整など、生徒のキャリア形成全般にわたる支援を担当します。「職業選択にかかる指導・助言や連絡調整には関わらない」という記述は、進路指導主事の職務内容を限定しており、不適切です。,社会的意義,27
27-28,文部科学省が進めるキャリア教育に関する次の記述のうち、不適切なものはどれか。,学校においては、キャリア教育及び職業教育を推進するために、生徒の特性や進路、学校や地域の実態等を考慮し、地域や産業界等の協力の下、校内での活動に特化するものとする。,キャリア教育の充実を図るには、特別活動を要としつつ、各教科・科目等の特質に応じて実施する。,キャリア教育の定義は「一人一人の社会的・職業的自立に向け、必要な基盤となる能力や態度を育てることを通して、キャリア発達を促す教育」である。,キャリア教育で育成を目指す基礎的・汎用的能力は「人間関係形成・社会形成能力」、「自己理解・自己管理能力」、「課題対応能力」、「キャリアプランニング能力」の4つである。,1,文部科学省が推進するキャリア教育に関する問題です。キャリア教育は、学校内での活動に限定されるものではなく、地域や産業界との連携・協力を積極的に図り、学校外の多様な経験を取り入れることが重要とされています。「校内での活動に特化するものとする」という記述は、キャリア教育の理念に反するため不適切です。,社会的意義,27
27-29,「インターンシップを始めとする学生のキャリア形成支援に係る取組の推進に当たっての基本的考え方」(文部科学省、厚生労働省、経済産業省、令和4年一部改正)で示された、インターンシップに関する次の記述のうち、最も不適切なものはどれか。,インターンシップを始めとするキャリア形成支援に係る取組は、大学等での学修と社会での経験を結びつけることで、学修の深化や学習意欲の喚起、職業意識の醸成などにつながるものである。,インターンシップを始めとするキャリア形成支援に係る取組は、実質的に就職・採用活動そのものであることから、就職・採用活動時期に関わらず、産学共同による取組が求められる。,インターンシップを始めとするキャリア形成支援に係る取組は、その教育的効果や学生のインターンシップを始めとするキャリア形成支援における効果が十分に期待できる重要な取組である。,インターンシップを始めとするキャリア形成支援に係る取組は、学生を送り出す大学等、これを体験する学生、学生を受け入れる企業等それぞれの側において積極的に対応していくことが望まれる。,2,インターンシップに関する問題です。令和4年の一部改正では、インターンシップと採用選考活動との関係性を明確化し、インターンシップが「実質的に就職・採用活動そのものである」と見なされることを避けるよう求めています。インターンシップはあくまで教育的側面を重視するものであり、採用活動とは区別されるべきです。したがって、「実質的に就職・採用活動そのものであることから」という記述は不適切です。,社会的意義,27
27-30,「令和4年度我が国における過労死等の概要及び政府が過労死等の防止のために講じた施策の状況(令和5年版過労死等防止対策白書)」(厚生労働省)で述べられた、職場におけるメンタルヘルス対策等に関する次の記述のうち、最も不適切なものはどれか。,常用労働者10人以上を雇用する民営事業所を対象にした調査によると、令和4年度にメンタルヘルス対策に取り組んでいる事業所の割合は約6割である。,メンタルヘルス対策に取り組んでいる事業所の割合を規模別にみると、最も少ないのは常勤雇用者29人以下の事業所である。,常用労働者10人以上を雇用する民営事業所におけるメンタルヘルス対策の取組内容で最も多いのは、「ストレスチェックの実施」である。,「仕事や職業生活に関する強い不安、悩み、ストレスを感じる」と回答した労働者のうち、その内容を見ると「仕事の量」よりも「仕事の質」の回答の方が多い。,4,メンタルヘルス対策とストレス要因に関する問題です。厚生労働省の「令和4年度労働安全衛生調査」によると、労働者が「仕事や職業生活に関する強い不安、悩み、ストレスを感じる」内容として最も多いのは「仕事の量」であり、次いで「仕事の質」となっています。「仕事の量」よりも「仕事の質」の回答の方が多いという記述は不適切です。,知識と理論,27
27-31,労働安全衛生法に基づくストレスチェックの実施ならびに安全配慮義務の実施にかかる、事業者の対応例に関する次の記述のうち、不適切なものはどれか。,労働者数が85名である当事業所では、ストレスチェックの実施義務はないので、実施しなかった。,ストレスチェックの結果、高ストレス者として面接指導を受ける必要があると実施者が認めた労働者から申出があったので、事業者として、当該労働者に対し医師による面接指導を実施した。,医師が実施した高ストレス者の面接結果に基づき、当該労働者にとって適切な措置となるよう就業場所・時間の変更を行った。,ストレスチェックの集団ごとの集計・分析結果に基づく職場環境の改善が推奨されているので、当事業所においても集計・分析結果の積極的な活用を進めた。,1,ストレスチェック制度に関する問題です。労働安全衛生法に基づき、常時50人以上の労働者を使用する事業場には、ストレスチェックの実施が義務付けられています。労働者数が85名であれば、実施義務があるため、「実施義務はないので、実施しなかった」という記述は不適切です。,知識と理論,27
27-32,多文化キャリアカウンセリングに関する次の記述のうち、最も適切なものはどれか。,クライエントの内にある「バイアス」を十分に意識させることが多文化キャリアカウンセリングの基礎となる。,カウンセラー自身の内にある「バイアス」を十分に意識することが多文化キャリアカウンセリングの基礎となる。,カウンセラー自身の内にある「バイアス」をできるだけ意識しないことが多文化キャリアカウンセリングの基礎となる。,クライエントの内にある「バイアス」をできるだけ意識させないことが多文化キャリアカウンセリングの基礎となる。,2,多文化キャリアカウンセリングに関する問題です。多文化キャリアカウンセリングにおいて最も重要なのは、カウンセラー自身が持つ文化的な「バイアス（偏見や先入観）」を自覚し、それを十分に意識することです。カウンセラーが自身のバイアスを認識することで、クライエントの文化背景を尊重し、より適切で公平な支援を提供できるようになります。したがって、選択肢2が最も適切です。,倫理と行動,27
27-33,「ひきこもりの評価・支援に関するガイドライン」(厚生労働省、2010年)で述べられた、ひきこもりに関する次の記述のうち、最も不適切なものはどれか。,ひきこもりは、DSM-IV で定義された病名であり、対人関係を含む社会との関係に困難が生じる症状を伴う疾病である。,ひきこもりとは、社会的参加を回避し、6か月以上にわたって家庭にとどまり続けている状態である。,ひきこもりが生じる原因には「いじめ」、「家族関係の問題」、「病気」などが挙げられることがあるが、一つの原因でひきこもりが生じるわけではない。,ひきこもりの長期化により、社会経験を積む機会を失ってしまうため、その状態から復帰するには、再チャレンジを支援する仕組みと支援者が必要とされている。,1,ひきこもりに関する問題です。「ひきこもり」は、厚生労働省のガイドラインにおいて、特定の精神疾患の診断基準（DSM-IVなど）で定義される「病名」ではなく、「状態像」として捉えられています。特定の疾病に限定せず、多様な背景を持つ状態として理解し、支援することが重要とされています。したがって、「DSM-IVで定義された病名である」という記述は不適切です。,知識と理論,27
27-34,カウンセリング技法の一つである「開かれた質問」に関する次の記述のうち、最も不適切なものはどれか。,「○○について話してくれませんか」という問いかけは、開かれた質問とは言えない。,クライエントに自由な発言を促す質問である。,答え始めるまで時間を要することが多い。,相手に、質問の意図が明確に伝わるようにすることが必要である。,1,カウンセリング技法「開かれた質問」に関する問題です。「開かれた質問」とは、クライエントが自由に、詳しく、自分の言葉で答えることを促す質問であり、「はい」「いいえ」で答えられない質問を指します。「○○について話してくれませんか」という問いかけは、クライエントに具体的な内容を自由に語ることを促すものであり、典型的な開かれた質問です。したがって、「開かれた質問とは言えない」という記述は不適切です。,技能,27
27-35,マイクロカウンセリングにおける、カウンセラーの自己開示に関する次の記述のうち、最も不適切なものはどれか。,カウンセラーがクライエントに対して自分の体験や感情を表明することをいう。,カウンセラーがその場の感情を表明することで、クライエントの気持ちが開かれる。,クライエントと対等な立場で一緒に問題を解決しようとする共感性の表明といえる。,恥ずかしいことや道徳的に疑問のある体験であっても、包み隠さずすべて開示するのがよい。,4,カウンセラーの自己開示に関する問題です。カウンセラーの自己開示は、クライエントとの信頼関係構築や自己開示の促進に有効な場合もありますが、その内容やタイミングには慎重な配慮が必要です。特に、カウンセラー自身の個人的な問題や、クライエントの利益に繋がらないような「恥ずかしいことや道徳的に疑問のある体験」を無制限に開示することは、クライエントに負担をかけたり、カウンセリングの焦点がずれたりするリスクがあるため、不適切です。,倫理と行動,27
27-36,ベーシック・エンカウンター・グループに関する次の記述のうち、不適切なものはどれか。,"ロジャーズ (Rogers, C. R.) とその関係者によって1960年代から実践された集中的小グループ経験である。",個人の心理的成長、コミュニケーションおよび対人関係の改善を主な目的としている。,それぞれが、思ったり感じていることを率直に話し合い、次第に自己理解・他者理解・人間関係を深めていく。,1、2名のファシリテーターによって計画された課題を10名前後の参加者が取り組む形式を標準とする。,4,ベーシック・エンカウンター・グループに関する問題です。ベーシック・エンカウンター・グループは、ロジャーズが提唱したもので、参加者が自発的に「今、ここ」で感じていることを率直に話し合う中で、自己理解や他者理解を深め、人間関係を改善していくことを目的としています。あらかじめ「計画された課題」に取り組む形式は、構成的グループエンカウンターの特徴であり、ベーシック・エンカウンター・グループの標準的な形式ではありません。したがって、選択肢4が不適切です。,知識と理論,27
27-37,職務経歴書に関する次の記述のうち、最も適切なものはどれか。,職務経歴書では、自分の職務経験に基づく実務能力ではなく、学歴や免許・資格をアピールする。,職務経歴や資格などがなく、実務能力に自信がないという場合は、趣味や特技に特化して記載するのがよい。,職務経歴書の内容は、応募先企業の知りたいことや求めていることに応じて記載することが必要である。,職務経歴書は応募先企業によって様式が決まっており、見やすさよりも、ルールに則った記載が必要である。,3,職務経歴書の作成に関する問題です。職務経歴書は、単に過去の経歴を羅列するだけでなく、応募先企業が求める人材像や職務内容に合致する自身の経験、スキル、実績を具体的にアピールするためのものです。そのため、応募先企業のニーズを理解し、それに合わせて内容をカスタマイズすることが非常に重要です。したがって、選択肢3が最も適切です。,技能,27
27-38,カウンセリング・プロセスに関する次の記述のうち、最も不適切なものはどれか。,カウンセリングの目的は、傾聴を通して、クライエントとの間に温かい人間関係をつくることにある。,カウンセリングの終結時に、開始時に比べて問題解決に向かってとるべき行動が明らかとなり、行動に移す決心ができていることは、カウンセリング効果を評価する基準の一つとなる。,カウンセリングの目指す目標を、具体的、かつ明確に示すことができなければならない。,カウンセラーは、クライエントとの話し合いが進展し、内容が発展しているかどうか、絶えずそのプロセスをチェックできなければならない。,1,カウンセリング・プロセスに関する問題です。傾聴を通してクライエントとの間に温かい人間関係（ラポール）を築くことは、カウンセリングの「手段」や「前提」であり、それ自体が「目的」ではありません。カウンセリングの最終的な目的は、クライエントが抱える問題を解決し、自己成長を促すことです。したがって、「カウンセリングの目的は、傾聴を通して、クライエントとの間に温かい人間関係をつくることにある」という記述は不適切です。,技能,27
27-39,信頼関係の構築に関する次の記述のうち、最も適切なものはどれか。,信頼関係はクライエントからキャリアコンサルタントへの信頼関係が重要で、キャリアコンサルタントからクライエントへの信頼関係は重要ではない。,キャリアコンサルティングの初期段階では、指示・指導的にならないよう留意し、信頼関係の構築を重視すべきである。,キャリアコンサルティングはビジネスとして行われるものであるため、信頼関係の構築を意識しなくても、クライエントの自己開示は進む。,キャリアコンサルタントは、クライエントの話を傾聴しながら、行動や姿勢に問題があると感じたときには即座に指摘することが信頼関係の構築に必要である。,2,信頼関係（ラポール）の構築に関する問題です。キャリアコンサルティングの初期段階において、クライエントが安心して自己開示し、本音で話せる関係性を築くことが最も重要です。この段階で、キャリアコンサルタントが一方的に指示・指導する姿勢をとると、クライエントは萎縮し、信頼関係が損なわれる可能性があります。まずは傾聴と受容を通じて、クライエントが安心できる場を提供することが重視されます。したがって、選択肢2が最も適切です。,技能,27
27-40,心理テストにおける信頼性に関する次の記述のうち、適切なものはどれか。,信頼性とは、そのテストにおける測定値の安定性もしくは一貫性を意味している。,信頼性とは、テストの難易度に関係している概念である。,信頼性は、尺度の項目数を少なくすることで高まる。,測定値のなかの誤差の含まれる割合が高いほど、そのテストの信頼性は高くなる。,1,心理テストにおける「信頼性（Reliability）」に関する問題です。信頼性とは、あるテストが繰り返し測定された場合に、どの程度安定した、あるいは一貫した結果が得られるかを示す指標です。つまり、測定の誤差が少なく、安定して同じものを測定できているかを表します。したがって、「そのテストにおける測定値の安定性もしくは一貫性を意味している」という記述が最も適切です。,知識と理論,27
27-41,job tag (職業情報提供サイト (日本版 O-NET))の検索機能に関する次の記述のうち、不適切なものはどれか。,「イメージ検索 (地図)」で検索する場合は、オフィス街やショッピングモール・商店街などの絵地図からイメージで職業を検索することができる。,「仕事の性質で検索」から検索する場合は、重視する仕事の性質または避けたい仕事の性質を選ぶと、その性質の点数が高い職業または低い職業を検索することができる。,「免許・資格で検索」から検索する場合は、免許・資格名から職業を検索することができる。,「所在地や電車沿線で検索」から検索する場合は、住所情報や駅名から事業所を検索することができる。,4,job tag（職業情報提供サイト）の検索機能に関する問題です。job tagは職業情報を提供するサイトであり、求人情報サイトではありません。したがって、「所在地や電車沿線で検索」から「事業所を検索する」という機能はjob tagにはありません。job tagの主な機能は、職業情報、自己診断ツール、キャリアプラン作成補助シートなどです。したがって、選択肢4が不適切です。,知識と理論,27
27-42,次の記述のうち、キャリアコンサルティングにおける「啓発的経験」として、最も不適切なものはどれか。,キャリア開発ワークショップ,インターンシップ,トライアル雇用,職場見学,1,キャリアコンサルティングにおける「啓発的経験」に関する問題です。啓発的経験とは、職業や仕事に関する知識を深め、自己理解を促進するための体験を指します。インターンシップ、トライアル雇用、職場見学は、実際に仕事の現場に触れることで、具体的な職業理解や自己の適性に関する気づきを得る「啓発的経験」に該当します。一方、キャリア開発ワークショップは、知識やスキルの習得を目的とした「教育訓練」の側面が強く、直接的な「経験」とは区別されるため、最も不適切です。,技能,27
27-43,キャリアコンサルティングにおける意思決定の支援に関する次の記述のうち、最も不適切なものはどれか。,意思決定支援では、職業だけでなく、どのような人生を送るのかという観点、家族との生活設計などの観点も考慮して、クライエントのライフプランの作成を支援する。,職業相談場面でクライエントが複数の求人票を見ながら抱える葛藤には、職業に関する意思決定プロセスをどのように展開したら良いかを認識できていないケースもある。,意思決定支援の段階では、個人が持つ自己概念や希望、期待、職業観等の「前提」と外界からの情報との間に生じた不協和 (不一致)ではなく、調和 (一致点)に着目する。,クライエントが失業や転職などのキャリア上の危機に遭遇しているときは、意思決定プロセスに焦点を当てた支援が有効と考えられる。,3,キャリアコンサルティングにおける意思決定支援に関する問題です。意思決定支援の段階では、クライエントの自己概念や希望と、外界の情報との間に「不協和（不一致）」が生じている場合に、その不協和を解消し、より現実的で納得のいく意思決定ができるよう支援することが重要です。調和している点だけでなく、不一致点に焦点を当てることで、クライエントが抱える課題を明確にし、解決策を検討することができます。したがって、「不協和（不一致）ではなく、調和（一致点）に着目する」という記述は不適切です。,技能,27
27-44,キャリア・プランの作成支援に活用できるジョブ・カードのキャリア・プランシートおよキャリア・プラン作成補助シートに関する次の記述のうち、不適切なものはどれか。,キャリア・プランシートでは、自分が大事にしたい価値観や興味、強み、将来取り組みたい仕事や働き方を整理し、これから取り組むことなどの目標を設定していく基本計画を記入できる。,キャリア・プランシートの「就業経験がない者および学卒者用」には、学校生活の様々な経験を棚卸しする項目がないため、キャリアコンサルタントが独自の様式を作成する必要がある。,キャリア・プラン作成補助シートは「学生用」、「在職者用」、「求職者用」の3種類があり、自分の個性や性格、大切にしたい価値観、自分の強みや弱みなどを振り返るためのワークから構成されている。,ジョブ・カードの職務経歴シートや職業能力証明シートなども必要に応じて活用することで、クライエントの能力や経歴の棚卸しを行うことができる。,2,ジョブ・カードのキャリア・プランシートに関する問題です。ジョブ・カードの「就業経験がない者および学卒者用」のキャリア・プランシートには、学校生活での経験を棚卸しする項目が設けられています。これにより、就業経験がなくても、これまでの学びや活動から得た経験を整理し、自己理解を深めることができます。したがって、「学校生活の様々な経験を棚卸しする項目がないため、キャリアコンサルタントが独自の様式を作成する必要がある」という記述は不適切です。,技能,27
27-45,職場適応理論に基づく、新たな仕事への適応支援に関する次の記述のうち、最も適切なものはどれか。,人と職場の関係は静的・固定的な関係であり、新たな仕事への適応は個人の特性に合致した職業選択にかかっている。,職場適応を高めるためには、相談者が職場の要請に応えることを重視し支援するのがよい。,職場適応を高める際に考慮すべき4つの要因として、不適合を許容する「柔軟性」、環境へ働きかける「活動性」、自分の側の対処である「反応性」、調整行動を持続する「忍耐」がある。,職場適応は、人の職場に対する満足感と、職場環境のニーズが人を満たす充足度のいずれか一方を高めることによって効果的な支援ができる。,3,職場適応理論に関する問題です。職場適応理論（Theory of Work Adjustment: TWA）では、個人と環境の相互作用を通じて適応が図られると考えます。その際に考慮すべき要因として、個人の側から「柔軟性（flexibility）」「活動性（activeness）」「反応性（reactiveness）」、そして適応行動を継続する「忍耐（perseverance）」の4つが挙げられます。したがって、選択肢3が最も適切です。,知識と理論,27
27-46,相談過程の終結に関する次の記述のうち、最も適切なものはどれか。,目標を達成したことについて同意が得られたものの、終結の合意は得られなかった場合、面談で達成してきたことを中心に振り返って相談者に十分な達成感を味わってもらう。,目標を達成しない状態で相談者から終結の申し出があった場合、キャリアコンサルタントの判断で相談の続行を働きかける。,キャリアコンサルタントの都合によって、途中で相談を終結しなければならない場合、今後の対応よりも終結の事情を説明することに多くの時間をかける。,相談者の変化があまり見られないまま面談が長期化している場合、終結あるいはリファーについて相談者と話し合う。,4,相談過程の終結に関する問題です。相談者の変化が見られないまま面談が長期化している場合、漫然と続けるのではなく、終結の可能性や、より適切な支援機関へのリファーラル（紹介）について、クライエントと率直に話し合うことが重要です。これは、クライエントの利益を最優先し、適切な支援を提供するというキャリアコンサルタントの責任に基づく対応です。したがって、選択肢4が最も適切です。,技能,27
27-47,キャリアコンサルタントに必要なネットワークに関する次の記述のうち、最も不適切なものはどれか。,メンタルヘルス不調、発達障害、仕事と治療の両立などの相談に適切に対応するためには、心理臨床や福祉領域などの専門機関・専門家とのネットワークを構築しておくことが求められる。,企業内キャリアコンサルタントに限っては、人事部門など組織内部の他部門とのネットワークがあれば十分なので、外部とのネットワークは特に必要とされない。,相談内容の高度化・複雑化に伴い、ファイナンシャルプランナー、弁護士など、これまでよりも多様な領域の他機関・専門家とのネットワークを構築しておく必要がある。,キャリア支援を効果的に実施するためには、異なる分野の専門家に意見・情報を求めるコンサルテーションも必要であり、日頃からそのためのネットワークを構築しておくことが望ましい。,2,キャリアコンサルタントに必要なネットワークに関する問題です。企業内キャリアコンサルタントであっても、組織内部のネットワークだけでなく、外部の専門機関や専門家とのネットワークを構築しておくことは非常に重要です。組織内だけでは対応できない専門的な問題（例：メンタルヘルス、法律問題など）に直面した場合に、適切なリファーラルやコンサルテーションを行うために不可欠です。したがって、「外部とのネットワークは特に必要とされない」という記述は不適切です。,倫理と行動,27
27-48,「キャリアコンサルタントの継続的な学びの促進等に関する報告書」(厚生労働省、令和2年4月)で示された、「キャリアコンサルタントの継続的な学び」についての課題に関する次の記述のうち、不適切なものはどれか。,キャリアコンサルタントの支援内容は高次に対人的かつ専門的な業務であり、円滑な業務遂行には組織やクライエントから信頼を得ることが前提となっている。,対人支援に携わる者として、理論や深い知見に裏付けされた豊富な実務経験やスキルだけでなく、キャリア支援の専門職としての社会的責任感を持った振る舞いや相手を尊重する姿勢が重要である。,キャリアコンサルタントが習得した能力を十分に発揮できるようにするためには、実践経験は不可欠であり、その機会を確保できるような環境整備が必要である。,活動を始めたばかりのキャリアコンサルタントには、優先的にスーパービジョンの機会を提供することが求められるが、経験を積んだキャリアコンサルタントには必要ない。,4,キャリアコンサルタントの継続的な学びに関する問題です。スーパービジョンは、経験の浅いキャリアコンサルタントだけでなく、経験を積んだキャリアコンサルタントにとっても、専門性の維持・向上、自己の盲点の認識、困難事例への対応、バーンアウト予防などのために不可欠な自己研鑽の機会です。「経験を積んだキャリアコンサルタントには必要ない」という記述は不適切です。,倫理と行動,27
27-49,キャリアコンサルタントが行う自己研鑽に関する次の記述のうち、最も不適切なものはどれか。,面談記録には、相談者の語りを通してキャリアコンサルタントとして把握した事実、推測、解釈をそれぞれ分けて記述するのがよい。,事例検討会に用いる事例報告書の作成にあたっては、キャリアコンサルタントの関心事を中心に、相談者が述べたことを厳選するのがよい。,逐語記録は、一般的に相談者やキャリアコンサルタントの発言を一言一句正確に書くことが要求され、「うん」、「あー」など一見無意味のような音、沈黙や非言語で示された動作なども相談者の心の表れとして記述する。,自己のスキルを高めることに関心を持ち、自分が担当した事例についてスーパービジョンを受けることで、キャリアコンサルタントとしての成長が期待される。,2,キャリアコンサルタントの自己研鑽、特に事例検討に関する問題です。事例検討会に用いる事例報告書は、クライエントの状況や課題、カウンセリングのプロセスを客観的かつ網羅的に記述することが求められます。キャリアコンサルタントの「関心事を中心に、相談者が述べたことを厳選する」という記述は、客観性を欠き、クライエントの全体像や問題の本質を見誤る可能性があるため不適切です。,倫理と行動,27
27-50,キャリアコンサルタントとしての姿勢に関する次の記述のうち、最も適切なものはどれか。,面談を通して把握した問題点から具体的に目標を提示したが、クライエントがそれを避けたがる様子なので、しっかり内省するように指導した。,クライエントがこの面談にどんな効果や進展を期待しているのかを確認したかったが、クライエントが勢いよく話していたので、話の腰を折らないよう聴き続けてそのまま面談を終えた。,クライエントと方策について話し合っている時、自分のスーパーバイザーに意見を聞くのがクライエントの役に立つと思ったので、面談の流れの中でその趣旨を説明して了解を取った。,自己理解が不足しているクライエントにアセスメントを提案した際に、時間が押していたのでツールの特徴や使う理由が説明できなかったが、クライエントが受け入れてくれたのでそのまま進めた。,3,キャリアコンサルタントとしての姿勢に関する問題です。クライエントの利益を最優先し、より質の高い支援を提供するために、必要に応じてスーパーバイザーや他の専門家から助言を得ることは適切です。その際、クライエントにその趣旨を丁寧に説明し、同意を得るというプロセスは、倫理的にも適切であり、クライエントとの信頼関係を維持する上でも重要です。したがって、選択肢3が最も適切です。,倫理と行動,27
,,,,,,,,,
,,,,,,,,,
